country,iso3,seat,dimension,contribution_status,reason,failure_reason,confidence,evidence_count,recommendation
Malaysia,MYS,cultural_anthropologist,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.85,3,20.0
Malaysia,MYS,cultural_anthropologist,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.75,3,40.0
Malaysia,MYS,cultural_anthropologist,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.6,1,60.0
Malaysia,MYS,cultural_anthropologist,D4,ABSTAINED,Insufficient ethnographic evidence on achievement-orientation versus harmony values in lived Malaysian culture.,ABSTAINED_INSUFFICIENT_EVIDENCE,0.0,0,
Malaysia,MYS,institutional_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.88,11,18.0
Malaysia,MYS,institutional_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.78,9,30.0
Malaysia,MYS,institutional_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.8,9,40.0
Malaysia,MYS,institutional_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.74,8,42.0
Malaysia,MYS,historical_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.85,4,20.0
Malaysia,MYS,historical_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.8,5,45.0
Malaysia,MYS,historical_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.75,6,50.0
Malaysia,MYS,historical_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.8,5,60.0
Poland,POL,cultural_anthropologist,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.8,3,55.0
Poland,POL,cultural_anthropologist,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.75,3,65.0
Poland,POL,cultural_anthropologist,D3,ABSTAINED,"No specific ethnographic evidence on rule‑orientation, orderliness, or certainty was found; score abstained would apply but given lack of evidence, set to null.",ABSTAINED_INSUFFICIENT_EVIDENCE,0.0,0,70.0
Poland,POL,cultural_anthropologist,D4,ABSTAINED,No concrete cultural anthropological evidence found regarding achievement‑orientation versus harmony‑orientation in Polish everyday lived practice.,ABSTAINED_INSUFFICIENT_EVIDENCE,0.0,0,
Poland,POL,institutional_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.72,7,55.0
Poland,POL,institutional_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.78,6,28.0
Poland,POL,institutional_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.85,7,88.0
Poland,POL,institutional_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.74,6,65.0
Poland,POL,historical_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,4,65.0
Poland,POL,historical_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.6,4,45.0
Poland,POL,historical_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.8,4,76.0
Poland,POL,historical_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,4,72.0
Burkina Faso,BFA,cultural_anthropologist,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.8,4,20.0
Burkina Faso,BFA,cultural_anthropologist,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.6,1,40.0
Burkina Faso,BFA,cultural_anthropologist,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,2,70.0
Burkina Faso,BFA,cultural_anthropologist,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,1,30.0
Burkina Faso,BFA,institutional_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.88,11,12.0
Burkina Faso,BFA,institutional_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.75,9,32.0
Burkina Faso,BFA,institutional_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,8,48.0
Burkina Faso,BFA,institutional_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.68,7,38.0
Burkina Faso,BFA,historical_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.8,3,20.0
Burkina Faso,BFA,historical_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,3,35.0
Burkina Faso,BFA,historical_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,3,70.0
Burkina Faso,BFA,historical_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.6,3,30.0
Bosniaherz,BIH,cultural_anthropologist,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.8,3,40.0
Bosniaherz,BIH,cultural_anthropologist,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,2,45.0
Bosniaherz,BIH,cultural_anthropologist,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.9,2,70.0
Bosniaherz,BIH,cultural_anthropologist,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.6,2,55.0
Bosniaherz,BIH,institutional_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.82,12,28.0
Bosniaherz,BIH,institutional_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.72,10,62.0
Bosniaherz,BIH,institutional_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.74,9,68.0
Bosniaherz,BIH,institutional_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.68,6,38.0
Bosniaherz,BIH,historical_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.85,2,30.0
Bosniaherz,BIH,historical_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,3,55.0
Bosniaherz,BIH,historical_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.75,3,45.0
Bosniaherz,BIH,historical_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,3,40.0
Bhutan,BTN,cultural_anthropologist,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.6,3,25.0
Bhutan,BTN,cultural_anthropologist,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.5,2,35.0
Bhutan,BTN,cultural_anthropologist,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,2,70.0
Bhutan,BTN,cultural_anthropologist,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.55,3,40.0
Bhutan,BTN,institutional_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.72,9,33.0
Bhutan,BTN,institutional_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.78,9,22.0
Bhutan,BTN,institutional_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.67,10,68.0
Bhutan,BTN,institutional_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.8,8,22.0
Bhutan,BTN,historical_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.8,3,82.0
Bhutan,BTN,historical_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.9,3,30.0
Bhutan,BTN,historical_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.85,3,25.0
Bhutan,BTN,historical_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.9,3,35.0
Dominican Republic,DOM,cultural_anthropologist,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,3,30.0
Dominican Republic,DOM,cultural_anthropologist,D2,ABSTAINED,No clear ethnographic evidence found yet on structural emotional freedom vs suppression; further ethnographies needed.,ABSTAINED_INSUFFICIENT_EVIDENCE,0.0,0,
Dominican Republic,DOM,cultural_anthropologist,D3,ABSTAINED,"No concrete evidence on cultural‑psychological need for certainty, rules, or ambiguity discomfort available from these sources. Further anthropological detail required.",ABSTAINED_INSUFFICIENT_EVIDENCE,0.0,0,
Dominican Republic,DOM,cultural_anthropologist,D4,ABSTAINED,No clear ethnographic evidence on achievement‑oriented vs harmony‑oriented values emerged. Additional field‑level studies needed.,ABSTAINED_INSUFFICIENT_EVIDENCE,0.0,0,
Dominican Republic,DOM,institutional_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.85,10,28.0
Dominican Republic,DOM,institutional_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.75,8,76.0
Dominican Republic,DOM,institutional_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.78,6,42.0
Dominican Republic,DOM,institutional_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.8,8,68.0
Dominican Republic,DOM,historical_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.9,4,32.0
Dominican Republic,DOM,historical_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.85,3,68.0
Dominican Republic,DOM,historical_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.85,4,35.0
Dominican Republic,DOM,historical_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.8,4,42.0
Fiji,FJI,cultural_anthropologist,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.8,3,20.0
Fiji,FJI,cultural_anthropologist,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,2,40.0
Fiji,FJI,cultural_anthropologist,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.9,2,70.0
Fiji,FJI,cultural_anthropologist,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.75,3,45.0
Fiji,FJI,institutional_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.82,13,12.0
Fiji,FJI,institutional_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.71,9,28.0
Fiji,FJI,institutional_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.74,8,30.0
Fiji,FJI,institutional_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.75,8,20.0
Fiji,FJI,historical_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.75,4,42.0
Fiji,FJI,historical_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,3,45.0
Fiji,FJI,historical_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,3,65.0
Fiji,FJI,historical_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,3,55.0
Georgia,GEO,cultural_anthropologist,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.3,1,60.0
Georgia,GEO,cultural_anthropologist,D2,ABSTAINED,Abstained: no citable evidence for this dimension.,ABSTAINED_INSUFFICIENT_EVIDENCE,0.0,0,
Georgia,GEO,cultural_anthropologist,D3,ABSTAINED,Abstained: no citable evidence for this dimension.,ABSTAINED_INSUFFICIENT_EVIDENCE,0.0,0,
Georgia,GEO,cultural_anthropologist,D4,ABSTAINED,Abstained: no citable evidence for this dimension.,ABSTAINED_INSUFFICIENT_EVIDENCE,0.0,0,
Georgia,GEO,institutional_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.78,9,22.0
Georgia,GEO,institutional_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.74,8,74.0
Georgia,GEO,institutional_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.65,7,62.0
Georgia,GEO,institutional_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.62,5,40.0
Georgia,GEO,historical_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.85,4,70.0
Georgia,GEO,historical_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.8,4,35.0
Georgia,GEO,historical_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.85,4,20.0
Georgia,GEO,historical_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.8,4,55.0
Honduras,HND,cultural_anthropologist,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.8,2,20.0
Honduras,HND,cultural_anthropologist,D2,ABSTAINED,No clear ethnographic or lived‑experience evidence on emotional openness vs suppression could be found to ground D2 scoring.,ABSTAINED_INSUFFICIENT_EVIDENCE,0.2,0,
Honduras,HND,cultural_anthropologist,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,1,50.0
Honduras,HND,cultural_anthropologist,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,1,40.0
Honduras,HND,institutional_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.82,9,12.0
Honduras,HND,institutional_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.65,7,63.0
Honduras,HND,institutional_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.62,6,45.0
Honduras,HND,institutional_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.6,6,42.0
Honduras,HND,historical_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.75,4,30.0
Honduras,HND,historical_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.65,3,55.0
Honduras,HND,historical_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,4,35.0
Honduras,HND,historical_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,4,25.0
Kazakhstan,KAZ,cultural_anthropologist,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,5,40.0
Kazakhstan,KAZ,cultural_anthropologist,D2,ABSTAINED,Insufficient ethnographic evidence on emotional expression freedom or suppression in daily life.,ABSTAINED_INSUFFICIENT_EVIDENCE,0.3,0,
Kazakhstan,KAZ,cultural_anthropologist,D3,ABSTAINED,"Lack of ethnographic detail about rule-following, orderliness, or tolerance for ambiguity in everyday life to ground structure.",ABSTAINED_INSUFFICIENT_EVIDENCE,0.3,0,
Kazakhstan,KAZ,cultural_anthropologist,D4,ABSTAINED,No concrete anthropological evidence located on achievement orientation vs. harmony/quality-of-life dynamic.,ABSTAINED_INSUFFICIENT_EVIDENCE,0.3,0,
Kazakhstan,KAZ,institutional_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.87,11,18.0
Kazakhstan,KAZ,institutional_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.78,8,30.0
Kazakhstan,KAZ,institutional_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.74,8,72.0
Kazakhstan,KAZ,institutional_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.63,7,45.0
Kazakhstan,KAZ,historical_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.75,4,70.0
Kazakhstan,KAZ,historical_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,3,35.0
Kazakhstan,KAZ,historical_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.65,3,50.0
Kazakhstan,KAZ,historical_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,3,65.0
Kenya,KEN,cultural_anthropologist,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.8,5,30.0
Kenya,KEN,cultural_anthropologist,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,4,40.0
Kenya,KEN,cultural_anthropologist,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.75,3,60.0
Kenya,KEN,cultural_anthropologist,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,3,55.0
Kenya,KEN,institutional_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.82,10,18.0
Kenya,KEN,institutional_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.74,7,32.0
Kenya,KEN,institutional_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.62,6,52.0
Kenya,KEN,institutional_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.75,6,68.0
Kenya,KEN,historical_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.85,5,25.0
Kenya,KEN,historical_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,4,65.0
Kenya,KEN,historical_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.75,4,45.0
Kenya,KEN,historical_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.8,4,70.0
Luxembourg,LUX,cultural_anthropologist,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.85,2,30.0
Luxembourg,LUX,cultural_anthropologist,D2,ABSTAINED,No strong ethnographic evidence on emotional expressiveness vs hierarchical suppression; sources on multicultural conviviality do not address openness of emotional expression.,ABSTAINED_INSUFFICIENT_EVIDENCE,0.0,0,
Luxembourg,LUX,cultural_anthropologist,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.8,1,65.0
Luxembourg,LUX,cultural_anthropologist,D4,ABSTAINED,"Hofstede’s Masculinity score for Lux.Nat. is medium (54), so achievement‑orientation is neither strongly prized nor strongly de‑emphasized; ethnographic sources do not provide clear lived‑practice evidence on striving vs acceptance. Therefore default to midpoint (50).",ABSTAINED_INSUFFICIENT_EVIDENCE,0.6,0,50.0
Luxembourg,LUX,institutional_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.65,8,58.0
Luxembourg,LUX,institutional_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.75,8,28.0
Luxembourg,LUX,institutional_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.68,8,70.0
Luxembourg,LUX,institutional_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.72,8,42.0
Luxembourg,LUX,historical_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,4,60.0
Luxembourg,LUX,historical_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,4,45.0
Luxembourg,LUX,historical_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.8,4,75.0
Luxembourg,LUX,historical_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,4,70.0
Malawi,MWI,cultural_anthropologist,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.6,4,40.0
Malawi,MWI,cultural_anthropologist,D2,ABSTAINED,No clear ethnographic evidence was found on whether Malawi is openly expressive or emotionally restrained in structural sense. Pausing judgment until data emerges.,ABSTAINED_INSUFFICIENT_EVIDENCE,0.0,0,
Malawi,MWI,cultural_anthropologist,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.5,2,60.0
Malawi,MWI,cultural_anthropologist,D4,ABSTAINED,Insufficient ethnographic information regarding whether Malawian culture prizes achievement/competition (Striving) versus harmony/quality of life (Accepting). No grounded claims found.,ABSTAINED_INSUFFICIENT_EVIDENCE,0.0,0,
Malawi,MWI,institutional_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.8,10,18.0
Malawi,MWI,institutional_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.65,8,42.0
Malawi,MWI,institutional_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.62,8,40.0
Malawi,MWI,institutional_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.63,6,30.0
Malawi,MWI,historical_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.85,7,28.0
Malawi,MWI,historical_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,7,45.0
Malawi,MWI,historical_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.65,7,52.0
Malawi,MWI,historical_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,7,63.0
Oman,OMN,cultural_anthropologist,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,3,25.0
Oman,OMN,cultural_anthropologist,D2,ABSTAINED,No clear ethnographic evidence found on freedom of emotional expression versus suppression in Oman’s everyday social life to assess openness versus restraint.,ABSTAINED_INSUFFICIENT_EVIDENCE,0.0,0,
Oman,OMN,cultural_anthropologist,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.6,1,70.0
Oman,OMN,cultural_anthropologist,D4,ABSTAINED,"No direct evidence was located regarding achievement‑orientation, competition, performance versus harmony‑relationship orientation in Oman’s lived culture that aligns with Drive dimension.",ABSTAINED_INSUFFICIENT_EVIDENCE,0.0,0,
Oman,OMN,institutional_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.82,10,18.0
Oman,OMN,institutional_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.8,9,22.0
Oman,OMN,institutional_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.78,8,72.0
Oman,OMN,institutional_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.72,8,40.0
Oman,OMN,historical_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,3,48.0
Oman,OMN,historical_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,3,35.0
Oman,OMN,historical_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,3,72.0
Oman,OMN,historical_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,3,60.0
Qatar,QAT,cultural_anthropologist,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.8,2,20.0
Qatar,QAT,cultural_anthropologist,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,2,30.0
Qatar,QAT,cultural_anthropologist,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.8,2,80.0
Qatar,QAT,cultural_anthropologist,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,1,60.0
Qatar,QAT,institutional_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.82,11,20.0
Qatar,QAT,institutional_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.76,8,28.0
Qatar,QAT,institutional_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.78,8,72.0
Qatar,QAT,institutional_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.72,7,62.0
Qatar,QAT,historical_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.85,5,25.0
Qatar,QAT,historical_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.8,3,15.0
Qatar,QAT,historical_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.85,4,85.0
Qatar,QAT,historical_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.75,3,70.0
Sierra Leone,SLE,cultural_anthropologist,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.75,5,30.0
Sierra Leone,SLE,cultural_anthropologist,D2,ABSTAINED,Abstained: no citable evidence for this dimension.,ABSTAINED_INSUFFICIENT_EVIDENCE,0.0,0,
Sierra Leone,SLE,cultural_anthropologist,D3,ABSTAINED,Abstained: no citable evidence for this dimension.,ABSTAINED_INSUFFICIENT_EVIDENCE,0.0,0,
Sierra Leone,SLE,cultural_anthropologist,D4,ABSTAINED,Abstained: no citable evidence for this dimension.,ABSTAINED_INSUFFICIENT_EVIDENCE,0.0,0,
Sierra Leone,SLE,institutional_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.85,12,16.0
Sierra Leone,SLE,institutional_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.65,8,62.0
Sierra Leone,SLE,institutional_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.62,8,55.0
Sierra Leone,SLE,institutional_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.63,6,38.0
Sierra Leone,SLE,historical_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.9,6,18.0
Sierra Leone,SLE,historical_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.8,6,62.0
Sierra Leone,SLE,historical_analyst,D3,CONTRIBUTED,Evidence-backed recommendation provided.,,0.9,6,28.0
Sierra Leone,SLE,historical_analyst,D4,CONTRIBUTED,Evidence-backed recommendation provided.,,0.8,5,37.0
Tajikistan,TJK,cultural_anthropologist,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.7,2,30.0
Tajikistan,TJK,cultural_anthropologist,D2,ABSTAINED,Insufficient ethnographic evidence found addressing emotional expression freedom or hierarchical suppression in Tajik social life to evaluate openness vs. restraint.,ABSTAINED_INSUFFICIENT_EVIDENCE,0.0,0,
Tajikistan,TJK,cultural_anthropologist,D3,ABSTAINED,"No specific sourced evidence located regarding Tajik norms around rule-following, order, punctuality, or ambiguity.",ABSTAINED_INSUFFICIENT_EVIDENCE,0.0,0,
Tajikistan,TJK,cultural_anthropologist,D4,ABSTAINED,Lack of ethnographic data on achievement versus harmony orientation in Tajik everyday life for newcomers prevents scoring.,ABSTAINED_INSUFFICIENT_EVIDENCE,0.0,0,
Tajikistan,TJK,institutional_analyst,D1,CONTRIBUTED,Evidence-backed recommendation provided.,,0.82,10,12.0
Tajikistan,TJK,institutional_analyst,D2,CONTRIBUTED,Evidence-backed recommendation provided.,,0.72,7,32.0
